t,x1,x2
0.0,1,-2
0.01,0.9801980198019801,-1.9603960396039604
0.02,0.960788158023723,-1.921576316047446
0.03,0.9417626499440451,-1.8835252998880905
0.04,0.9231138845986184,-1.8462277691972369
0.05,0.9048344017352793,-1.8096688034705588
0.06,0.8869168888296302,-1.7738337776592603
0.07,0.8693541781597364,-1.738708356319473
0.08,0.8521392439387515,-1.704278487877503
0.09,0.8352651995043207,-1.6705303990086415
0.1,0.818725294563641,-1.6374505891272824
0.11,0.8025129124930738,-1.6050258249861478
0.12,0.7866215676912306,-1.5732431353824614
0.13,0.7710449029844735,-1.5420898059689474
0.14,0.7557766870837908,-1.5115533741675817
0.15,0.7408108120920325,-1.481621624184065
0.16,0.726141291060507,-1.4522825821210141
0.17,0.7117622555939622,-1.4235245111879244
0.18,0.6976679535029926,-1.3953359070059854
0.19,0.6838527465029333,-1.3677054930058667
0.2,0.6703111079583206,-1.3406222159166414
0.21,0.6570376206720172,-1.3140752413440344
0.22,0.6440269747181159,-1.2880539494362317
0.23,0.6312739653177571,-1.2625479306355143
0.24,0.6187734907570095,-1.237546981514019
0.25,0.6065205503459796,-1.2130411006919593
0.26,0.5945102424183364,-1.1890204848366728
0.27,0.5827377623704485,-1.1654755247408972
0.28,0.5711984007393505,-1.1423968014787012
0.29,0.5598875413187693,-1.1197750826375386
0.3,0.5488006593124569,-1.097601318624914
0.31,0.5379333195240914,-1.0758666390481828
0.32,0.5272811745830203,-1.0545623491660405
0.33,0.5168399632051386,-1.0336799264102774
0.34,0.5066055084882052,-1.0132110169764104
0.35000000000000003,0.49657371624091395,-0.9931474324818279
0.36,0.4867405733450542,-0.9734811466901085
0.37,0.4771021461501026,-0.9542042923002054
0.38,0.4676545788996055,-0.9353091577992112
0.39,0.4583940921887222,-0.9167881843774446
0.4,0.4493169814523118,-0.8986339629046238
0.41000000000000003,0.4404196154829591,-0.8808392309659182
0.42,0.431698434978346,-0.8633968699566921
0.43,0.4231499511173886,-0.8462999022347772
0.44,0.414770744164569,-0.8295414883291381
0.45,0.40655746210190424,-0.8131149242038086
0.46,0.39850681928800513,-0.7970136385760104
0.47000000000000003,0.3906155951436882,-0.7812311902873765
0.48,0.3828806328636151,-0.7657612657272304
0.49,0.3752988381534445,-0.7505976763068891
0.5,0.36786717799199015,-0.7357343559839803
0.51,0.3605826794178913,-0.7211653588357827
0.52,0.35344242834030926,-0.7068848566806186
0.53,0.34644356837317436,-0.6928871367463488
0.54,0.3395832996925174,-0.6791665993850349
0.55,0.33285887791642793,-0.6657177558328559
0.56,0.3262676130071917,-0.6525352260143835
0.5700000000000001,0.31980686819516807,-0.6396137363903363
0.58,0.3134740589239766,-0.6269481178479532
0.59,0.3072666518165711,-0.6145333036331423
0.6,0.30118216366178746,-0.602364327323575
0.61,0.29521816042095994,-0.59043632084192
0.62,0.2893722562542082,-0.5787445125084165
0.63,0.283642112566006,-0.5672842251320122
0.64,0.27802543706964944,-0.5560508741392989
0.65,0.2725199828702504,-0.5450399657405008
0.66,0.267123547565889,-0.534247095131778
0.67,0.26183397236656447,-0.5236679447331289
0.68,0.2566491412305929,-0.5132982824611858
0.6900000000000001,0.25156698001810585,-0.5031339600362118
0.7000000000000001,0.24658545566131163,-0.49317091132262336
0.71,0.2417025753511866,-0.48340515070237333
0.72,0.236916385740272,-0.47383277148054403
0.73,0.23222497216125668,-0.4644499443225134
0.74,0.22762645786103375,-0.4552529157220676
0.75,0.22311900324992415,-0.44623800649984835
0.76,0.21870080516576723,-0.43740161033153446
0.77,0.2143700961525837,-0.42874019230516747
0.78,0.21012514375352262,-0.4202502875070453
0.79,0.20596424981780928,-0.4119284996356186
0.8,0.201885749821417,-0.40377149964283404
0.81,0.1978880122011909,-0.39577602440238185
0.8200000000000001,0.1939694377021574,-0.3879388754043148
0.8300000000000001,0.19012845873775824,-0.3802569174755165
0.84,0.18636353876275313,-0.37272707752550627
0.85,0.1826731716585402,-0.3653463433170804
0.86,0.1790558811306483,-0.3581117622612966
0.87,0.1755102201181602,-0.3510204402363204
0.88,0.17203477021483027,-0.3440695404296606
0.89,0.1686281411016653,-0.33725628220333065
0.9,0.16528896999074122,-0.33057793998148244
0.91,0.16201592108003346,-0.324031842160067
0.92,0.1588076850190427,-0.31761537003808543
0.93,0.1556629783850022,-0.3113259567700045
0.9400000000000001,0.15258054316945757,-0.30516108633891526
0.9500000000000001,0.14955914627501285,-0.29911829255002576
0.96,0.1465975790220423,-0.2931951580440846
0.97,0.14369465666517015,-0.28738931333034035
0.98,0.1408492179193252,-0.2816984358386504
0.99,0.13806012449518013,-0.2761202489903603
1.0,0.1353262606437904,-0.2706525212875809
