t,x1,x2
0.0,-1,3
0.01,-1.1600000000000001,2.7800000000000002
0.02,-1.3101000000000003,2.5741
0.03,-1.4509060000000005,2.381412
0.04,-1.5829856600000003,2.2011041000000002
0.05,-1.7068707216000003,2.0323969564
0.06,-1.8230592766360005,1.874560462236
0.07,-1.9320178925141607,1.7269106371131198
0.08,-2.0341836032949585,1.5888067135900596
0.09,-2.129965775007411,1.4596484076058058
0.1,-2.219747853137775,1.338873361323325
0.11,-2.303888999735319,1.2259547474993144
0.12,-2.382725627107638,1.120399025177009
0.13,-2.456572834637565,1.021743837143542
0.14,-2.5257257548411176,0.9295560401971185
0.15,-2.5904608143993846,0.8434298598349089
0.16,-2.651036915535124,0.7629851615024713
0.17,-2.707696542765599,0.6878658310419471
0.18,-2.7606667997453522,0.6177382574413547
0.19,-2.8101603806148736,0.5522899114230063
0.2,-2.8563764799921723,0.4912280138172471
0.21,-2.8995016454829567,0.4342782880501181
0.22,-2.939710576340292,0.3811837914317802
0.23,-2.977166871675284,0.33170382026815265
0.24,-3.0120237314054448,0.2856128841326291
0.25,-3.0444246129261305,0.2426997449292906
0.26,-3.0745038463018566,0.20276651665497897
0.27,-3.102387210597624,0.16562782202611187
0.28,-3.128192473804906,0.13111000237830778
0.29,-3.1520298986618704,0.09905037747377717
0.3,-3.174002716522178,0.06929655206399406
0.31,-3.1942075712905993,0.04170576625429269
0.32,-3.2127349353162202,0.016144286903586203
0.33,-3.229669499014562,-0.0075131625328270345
0.34,-3.245090535878066,-0.029383936145674763
0.35000000000000003,-3.2590722444295634,-0.04957796597425819
0.36,-3.2716840685751465,-0.06819823080035575
0.37,-3.2829909977208804,-0.0853411953300823
0.38,-3.293053847931585,-0.10109722163418534
0.39,-3.301929525329191,-0.11555095459910822
0.4,-3.309671272852528,-0.12878168303046256
0.41000000000000003,-3.31632890142953,-0.14086367794685545
0.42,-3.3219490065464825,-0.15186650950487085
0.43,-3.326575171136704,-0.1618553439049947
0.44,-3.3302481556528214,-0.1708912215430121
0.45,-3.3330060761321993,-0.17903131759152946
0.46,-3.3348845710139448,-0.18632918612144436
0.47000000000000003,-3.3359169574180116,-0.19283498880308267
0.48,-3.3361343775520376,-0.198595709161047
0.49,-3.3355659358695053,-0.20365535329529408
0.5,-3.3342388275634356,-0.20805513792331853
0.51,-3.3321784589429044,-0.21183366654432056
0.52,-3.3294085602051173,-0.21502709447564716
0.53,-3.3259512910833866,-0.217669283464403
0.54,-3.3218273398210005,-0.21979194653272865
0.55,-3.317056015892574,-0.22142478367364765
0.56,-3.311655336867817,-0.22259560897541802
0.5700000000000001,-3.3056421097877244,-0.2233304697158169
0.58,-3.2990320073998105,-0.22365375793358694
0.59,-3.2918396395771294,-0.22358831495223394
0.6,-3.284078620225289,-0.22315552930134885
0.61,-3.2757616299624743,-0.22237542845250732
0.62,-3.2669004748394737,-0.2212667647604565
0.63,-3.2575061413498454,-0.21984709597561927
0.64,-3.247588847964563,-0.21813286067082435
0.65,-3.237158093410667,-0.21613944890351228
0.66,-3.226222701899598,-0.21388126841437308
0.67,-3.2147908654978754,-0.21137180664436292
0.68,-3.202870183820636,-0.20862368883423626
0.6900000000000001,-3.190467701217131,-0.20564873245404608
0.7000000000000001,-3.1775899416066,-0.20245799819443416
0.71,-3.1642429411129442,-0.19906183773688976
0.72,-3.150432278637229,-0.1954699385064369
0.73,-3.1361631044982796,-0.1916913655973586
0.74,-3.1214401672633945,-0.18773460105052628
0.75,-3.1062678388835026,-0.18360758064962338
0.76,-3.0906501382398566,-0.17931772839298477
0.77,-3.074590753202606,-0.17487198878787436
0.78,-3.0580930612952386,-0.17027685710474919
0.79,-3.0411601490529536,-0.16553840772036912
0.8,-3.0237948301574646,-0.1606623206704728
0.81,-3.0059996624255154,-0.15565390652511435
0.8200000000000001,-2.9877769637235145,-0.15051812969261147
0.8300000000000001,-2.969128826876119,-0.1452596302513638
0.84,-2.950057133632312,-0.1398827444025295
0.85,-2.930563567748509,-0.13439152363067555
0.86,-2.91064962724446,-0.12878975265401335
0.87,-2.890316635884204,-0.123080966240677
0.88,-2.869565753931012,-0.11726846496267164
0.89,-2.8483979882221884,-0.11135532995459474
0.9,-2.8268142016066804,-0.105344436739995
0.91,-2.8048151217857473,-0.09923846818426216
0.92,-2.7824013495943913,-0.09303992662922127
0.93,-2.7595733667588744,-0.0867511452611197
0.9400000000000001,-2.736331543163407,-0.08037429876043006
0.9500000000000001,-2.7126761436570193,-0.07391141327883402
0.96,-2.6886073344296477,-0.06736437578588583
0.97,-2.66412518898465,-0.0607349428251703
0.98,-2.639229693733238,-0.054024748717254864
0.99,-2.6139207532347077,-0.04723531324437941
1.0,-2.5881981951048356,-0.04036804884961993
