t,x1,x2
0.0,-1,3
0.01,-1.1551494025,2.7869043374999998
0.02,-1.300983034910637,2.587052529449344
0.03,-1.4380523026608663,2.399636459612697
0.04,-1.5668747984808873,2.2238974868171733
0.05,-1.6879363719759874,2.059123416480899
0.06,-1.8016930725157825,1.9046456575222779
0.07,-1.908572973193548,1.75983655330232
0.08,-2.0089778831356493,1.6241068759470207
0.09,-2.1032849549954475,1.4969034740488707
0.1,-2.191848194047714,1.3777070643587594
0.11,-2.274999874906835,1.26603015865425
0.12,-2.3530518715233977,1.1614151175097236
0.13,-2.4262969057676096,1.0634323232004046
0.14,-2.495009719583061,0.971678464447767
0.15,-2.5594481753892877,0.8857749261602244
0.16,-2.619854289125207,0.8053662777420674
0.17,-2.6764552000566573,0.7301188539370297
0.18,-2.7294640812188677,0.6597194225421982
0.19,-2.7790809941277517,0.5938739336747075
0.2,-2.8254936911714665,0.532306345599161
0.21,-2.8688783688848702,0.4747575224292965
0.22,-2.909400375113455,0.42098419930428893
0.23,-2.9472148728893033,0.3707580109093908
0.24,-2.98246746366883,0.3238645794634394
0.25,-3.0152947724198875,0.2801026585331092
0.26,-3.0458249968935203,0.23928332925660983
0.27,-3.074178423272729,0.20122924576871093
0.28,-3.100467910256386,0.16577392681535266
0.29,-3.124799343510466,0.13276109073045822
0.3,-3.1472720623004906,0.10204403112063462
0.31,-3.167979260008035,0.07348503076592668
0.32,-3.187008360129931,0.04695481139732021
0.33,-3.204441369260919,0.02233201715488569
0.34,-3.2203552084686624,-0.0004972703351171573
0.35000000000000003,-3.234822024383774,-0.021639987199652298
0.36,-3.2479094812465514,-0.04119651469184086
0.37,-3.2596810350761096,-0.05926108040319456
0.38,-3.2701961910562427,-0.07592213491651335
0.39,-3.27951074516536,-0.0912627054027878
0.4,-3.2876770110149547,-0.10536072757342343
0.41000000000000003,-3.2947440328020328,-0.11828935731271381
0.42,-3.30075778522549,-0.13011726323438694
0.43,-3.305761361164415,-0.14090890132991174
0.44,-3.30979514786744,-0.15072477280477434
0.45,-3.312896992356396,-0.15962166613183199
0.46,-3.315102356704506,-0.16765288428785813
0.47000000000000003,-3.3164444638089066,-0.1748684580802535
0.48,-3.3169544342393693,-0.18131534641538055
0.49,-3.316661414709468,-0.18703762430785761
0.5,-3.315592698682999,-0.1920766593812206
0.51,-3.3137738395970793,-0.19647127756442517
0.52,-3.3112287571538643,-0.2002579186455399
0.53,-3.3079798371051816,-0.2034707823034976
0.54,-3.304048024928383,-0.20614196520076766
0.55,-3.2994529137673547,-0.2083015896841332
0.56,-3.2942128269897264,-0.20997792460726256
0.5700000000000001,-3.2883448956898302,-0.2111974987573201
0.58,-3.281865131446796,-0.21198520733834245
0.59,-3.274788494628222,-0.2123644119363928
0.6,-3.267128958512088,-0.21235703436549064
0.61,-3.258899569482884,-0.21198364476889023
0.62,-3.2501125035422604,-0.21126354432735236
0.63,-3.240779119359794,-0.21021484290452933
0.64,-3.230910008075657,-0.20885453193937506
0.65,-3.2205150400540115,-0.20719855287652233
0.66,-3.2096034087737775,-0.20526186140775896
0.67,-3.198183672032009,-0.2030584877810166
0.68,-3.1862637906243685,-0.2006015934175895
0.6900000000000001,-3.17385116465714,-0.1979035240635657
0.7000000000000001,-3.1609526676357476,-0.19497585968762007
0.71,-3.1475746784658956,-0.19182946132433293
0.72,-3.1337231114950903,-0.18847451505000595
0.73,-3.119403444714502,-0.18492057326650244
0.74,-3.10462074623377,-0.18117659345789439
0.75,-3.089379699134473,-0.17725097457461225
0.76,-3.073684624801498,-0.17315159119032364
0.77,-3.0575395048254883,-0.1688858255678779
0.78,-3.040948001563827,-0.16446059776230748
0.79,-3.023913477442277,-0.15988239388104294
0.8,-3.006439013074353,-0.15515729261414274
0.81,-2.9885274242708,-0.15029099014043457
0.8200000000000001,-2.970181278007115,-0.14528882350898242
0.8300000000000001,-2.951402907412884,-0.14015579258920863
0.84,-2.932194425842818,-0.1348965806772864
0.85,-2.912557740085691,-0.1295155738410563
0.86,-2.89249456276395,-0.12401687908068398
0.87,-2.8720064239735357,-0.11840434137755095
0.88,-2.851094682210424,-0.11268155969943167
0.89,-2.8297605346275394,-0.10685190202584553
0.9,-2.8080050266630363,-0.10091851945356063
0.91,-2.785829061078419,-0.0948843594385556
0.92,-2.763233406442627,-0.08875217822729858
0.93,-2.740218705095998,-0.08252455252696725
0.9400000000000001,-2.716785480625938,-0.07620389046119566
0.9500000000000001,-2.692934144884193,-0.06979244185508258
0.96,-2.6686650045737763,-0.06329230789051844
0.97,-2.643978267431891,-0.05670545017037511
0.98,-2.618874048033574,-0.05003369922774316
0.99,-2.59335237323928,-0.043278762514186296
1.0,-2.5674131873081936,-0.03644223189890342
